,country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
22,ASEAN (Ember),2022,,,,,,,,,39.73,3.264,,508.204,,,,,,502.69,,,,,41.304,,1217.05,1217.05,,,,,,,,,880.43,,,72.341,,,,,,359.65,,,,,,29.551,,618.51,,,,,218.34,,17.94,,,,,,336.62,,27.659,,,,,,,,0.0,,0.0,,,,,,18.09,,,,,,1.486,,,68.09,28.36,,,,,,5.595,2.33,,,,,,,,336.62,,27.659,,,,,,37.84,,3.109,,,,,,12.35,,1.015,
267,Africa,2022,,1426736614.0,,1.068,0.012,0.786,1.122,,,,0.02,,-4.847,-56.216,773.498,1103.578,165.696,236.405,1.193,19.653,1168.08,1666.542,26.481,19.613,,892.734,16.918,0.255,14.327,3943.844,,0.108,5.441,469.737,670.19,3545.31,5058.223,75.072,89.895,-3.542,-59.667,1625.038,254.588,363.229,1138.99,-3.87,-100.236,1744.956,2489.593,40.687,28.88,,2.866,9.931,408.593,109.846,156.721,286.383,17.555,7.262,1.905,8.885,568.603,152.505,217.584,398.534,24.373,10.105,,,-18.252,-5.755,25.268,7.079,10.1,17.71,1.131,0.449,5.494,121.324,2329.607,49.453,70.556,1632.822,-3.772,-151.501,2708.899,3864.885,7.903,41.402,23.925,8.688,,7.109,1.463,6.089,,16.769,0.973,,0.425,625.718,5626.826,3.137,14.64,543.335,145.426,207.484,380.824,23.241,9.656,1.54,0.548,47.402,12.743,18.181,33.224,2.037,0.842,4.888,2.686,62.294,16.747,23.894,43.662,2.676,1.107
325,Africa (EI),2022,,,,1.068,0.012,,1.122,,,,0.02,,-4.847,-56.216,,1103.578,,236.405,1.193,19.653,,1666.542,26.481,19.613,,892.734,16.918,0.255,14.326,,,0.108,5.44,,670.19,,5058.223,75.072,89.895,-3.542,-59.667,1625.038,,363.229,,-3.87,-100.236,,2489.593,40.687,28.88,,2.866,9.931,408.593,,156.721,,17.555,7.262,1.905,8.885,568.603,,217.584,,24.373,10.105,,,-18.252,-5.755,25.268,,10.1,,1.131,0.449,5.494,121.324,2329.607,,70.556,,-3.772,-151.501,,3864.885,7.903,41.402,23.925,8.688,,7.109,1.463,,,,0.973,,0.425,,5626.826,3.137,14.64,543.335,,207.484,,23.241,9.656,1.54,0.548,47.402,,18.181,,2.037,0.842,4.888,2.686,62.294,,23.894,,2.676,1.107
751,Algeria,2022,DZA,44903228.0,,,,,,,,,,,-51.791,-1.608,33.338,1.497,,,,,,,,0.219,,91.643,13.405,-2.588,-18.199,15252.127,,-2.626,-18.415,,,15207.475,682.865,,99.707,-7.183,-34.265,442.75,,,9860.092,-2.891,-29.231,21863.684,981.75,,64.647,,725.591,0.176,0.2,1.71,0.077,4.458,0.084,0.029,12.467,0.216,2.005,17.127,0.769,44.652,0.839,0.293,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.894,17.459,238.618,,,5314.044,9.363,63.377,16485.305,740.243,,34.841,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,2040.895,684.87,12.467,0.216,2.005,17.127,0.769,44.652,0.839,0.293,2.676,0.04,1.777,15.183,0.682,39.584,0.744,0.26,0.0,-0.0,0.027,0.234,0.01,0.61,0.011,0.004
916,Angola,2022,AGO,35588996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.139,7.566,18878.906,671.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Argentina,2022,ARG,45510324.0,,33.704,3.512,306.113,13.931,47.681,2.17,1.51,1.392,344.307,2.465,0.346,316.387,14.399,47.022,2.14,0.0,,,,1.489,1.438,155.49,143.68,15.606,3.656,35.302,21994.422,,2.708,22.519,1998.667,90.96,18765.236,854.012,63.307,85.318,-0.547,-2.511,456.83,1669.951,76.0,10037.938,7.727,29.833,9138.986,415.918,52.895,45.639,49.47,21.587,10.871,62.283,574.595,26.15,1368.55,18.2,6.222,12.323,12.782,146.961,1158.418,52.72,3229.188,36.693,14.682,11.81,7.595,-26.555,-6.849,18.687,164.139,7.47,410.6,5.199,1.867,6.893,24.684,382.783,281.694,12.82,8410.91,12.797,43.285,8383.651,381.543,8.923,38.241,7.473,2.17,0.0,3.872,0.279,47.681,0.0,164.199,1.51,0.0,0.747,3157.086,1000.973,20.654,19.632,128.275,994.28,45.25,2818.588,31.494,12.815,33.373,1.895,7.659,63.942,2.91,168.291,2.025,0.765,9.483,3.075,36.929,308.062,14.02,811.435,9.758,3.689
1312,Asia,2022,,4721383370.0,,8.683,17.534,46.484,219.47,,,,0.243,,2.224,801.852,7804.669,36848.836,1737.539,8203.587,10.431,3345.779,7502.481,35422.09,50.594,40.778,,16214.564,19.637,2.346,2071.789,19139.609,,1.368,1046.914,2395.735,11311.182,16428.768,77566.508,69.759,85.836,-1.797,-292.482,15983.315,564.629,2665.83,3385.303,1.164,165.359,3044.3,14373.307,16.441,17.687,,2.568,111.808,5207.568,423.06,1997.43,1102.975,12.319,5.763,8.99,1024.876,12798.926,1013.41,4784.696,2710.842,29.509,14.164,,,5.088,86.269,1919.821,162.532,767.377,406.623,4.733,2.125,2.222,537.547,24734.361,93.567,441.765,5238.795,6.718,1393.684,4689.291,22139.939,2.724,27.371,1142.141,366.762,,10.78,112.3,77.681,,241.908,2.262,,1.264,3434.283,90365.438,9.728,938.606,10879.104,850.877,4017.319,2304.22,24.776,12.039,25.42,388.45,1944.585,157.977,745.871,411.868,4.6,2.152,15.42,308.514,2365.34,192.159,907.256,500.985,5.595,2.618
1377,Asia (Ember),2022,,,,,,,,,317.86,2.2,,534.889,,,,,,8086.3,,,,,55.964,,14449.16,14449.16,,,,,,,,,9888.54,,,68.437,,,,,,1599.59,,,,,,11.07,,7728.7,,,,,1905.32,,13.186,,,,,,4560.62,,31.563,,,,,,,,732.44,,5.069,,,,,,202.65,,,,,,1.403,,,347.41,29.55,,,,,,2.404,0.205,,,,,,,,3828.18,,26.494,,,,,,707.86,,4.899,,,,,,867.59,,6.004,
1435,Asia Pacific (EI),2022,,,,8.565,17.254,,218.709,,,,0.284,,2.129,755.59,,36249.672,,8120.102,9.198,3186.98,,37834.746,55.822,47.01,,14546.45,20.922,2.119,1600.008,,,0.953,610.555,,9736.238,,64657.879,66.932,83.852,-2.305,-213.984,9070.784,,1473.894,,1.116,75.223,,6812.729,10.132,11.763,,2.672,111.906,4983.443,,1911.464,,13.14,6.463,8.91,989.444,12451.865,,4651.892,,31.98,16.148,,,3.322,52.807,1845.975,,737.86,,5.072,2.394,0.358,68.949,19337.424,,142.242,,-0.905,-36.688,,4019.159,0.978,25.078,1117.35,358.469,,10.439,106.575,,,,2.464,,1.449,,77109.75,9.971,936.637,10605.89,,3914.032,,26.907,13.754,25.748,391.091,1937.567,,743.179,,5.109,2.513,15.616,309.812,2348.822,,900.921,,6.193,3.046
1675,Australia,2022,AUS,26177410.0,,7.797,0.096,50.855,1.331,124.153,3.25,1.188,0.08,501.7,-4.791,-21.677,16455.543,430.763,5001.641,130.93,-3.607,-119.137,121618.289,3183.652,47.863,25.931,273.55,273.55,18.077,4.307,68.598,63458.84,,2.44,33.845,6978.918,182.69,54286.039,1421.068,66.785,85.545,4.305,17.179,416.264,1768.319,46.29,15901.653,3.1,45.942,58376.801,1528.153,16.922,25.058,137.24,7.404,2.925,44.642,653.999,17.12,1705.37,6.258,2.687,17.427,34.753,240.12,3470.932,90.86,9172.805,33.215,14.455,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.158,38.344,574.04,208.959,5.47,21928.844,-5.033,-10.782,7771.708,203.443,2.0,34.556,10.361,3.246,,-2.939,-0.314,123.991,,395.806,1.187,,0.624,10449.849,1661.188,17.427,34.753,240.12,3470.932,90.86,9172.805,33.215,14.455,24.515,19.64,101.264,1483.722,38.84,3868.36,14.199,6.096,18.124,12.406,82.522,1209.058,31.65,3152.414,11.57,4.968
1840,Austria,2022,AUT,8939617.0,,-4.431,-0.221,534.141,4.775,619.713,5.54,8.404,1.251,158.222,-5.488,-1.643,3164.75,28.292,15.661,0.14,,,,,0.212,7.414,74.62,65.92,22.147,-5.464,-22.054,42685.379,,-6.238,-16.094,1672.331,14.95,27059.148,241.898,22.679,63.392,-12.215,-11.01,79.128,1271.867,11.37,8851.414,,,,,17.248,20.736,10.43,-8.298,-8.753,92.647,3975.562,35.54,10363.625,53.914,24.279,-3.967,-5.959,139.693,5701.587,50.97,15626.231,77.321,36.608,8.7,11.659,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.495,-3.441,134.479,384.804,3.44,15042.984,,,,,5.218,35.242,14.99,5.54,0.0,4.55,0.652,619.713,0.0,1676.83,8.404,0.0,3.928,7373.917,381.591,-3.967,-5.959,139.693,5701.587,50.97,15626.231,77.321,36.608,15.665,1.11,8.391,327.755,2.93,938.635,4.445,2.199,7.496,1.253,18.889,778.557,6.96,2113.0,10.558,4.95
1883,Azerbaijan,2022,AZE,10358078.0,,,,,,,,,,,0.0,0.0,0.15,0.002,,,,,,,,0.001,,29.033,15.187,-0.761,-1.49,18747.918,,-1.209,-2.317,,,18278.574,189.331,,97.497,-5.586,-7.16,121.015,,,11683.125,7.32,23.285,32956.672,341.368,,62.317,,24.857,0.816,4.158,153.967,1.595,401.412,5.493,2.141,21.121,0.827,4.861,177.798,1.842,469.343,6.343,2.503,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.63,4.843,68.315,,,6595.299,-5.542,-22.728,37400.008,387.392,,35.179,0.328,0.103,,6.263,0.019,9.91,,31.635,0.354,,0.169,2802.895,194.192,21.121,0.827,4.861,177.798,1.842,469.343,6.343,2.503,10.326,0.014,0.159,5.879,0.061,15.329,0.21,0.082,-8.862,-0.022,0.217,8.042,0.083,20.967,0.287,0.112
2048,Bahrain,2022,BHR,1472237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.693,-1.194,116209.859,171.088,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171,Bangladesh,2022,BGD,171186368.0,,,,,,0.0,0.0,0.0,,574.278,18.036,7.631,291.742,49.942,43.286,7.41,0.0,,,,8.695,10.018,92.82,85.22,17.169,3.969,19.028,2912.048,,3.91,18.615,488.298,83.59,2890.08,494.742,98.087,99.246,-4.569,-13.979,291.98,292.547,50.08,1705.627,-1.474,-3.479,1358.93,232.63,58.766,58.571,48.94,13.662,0.236,2.021,5.666,0.97,11.804,1.138,0.405,12.755,0.413,3.761,9.522,1.63,21.968,1.913,0.754,7.6,8.188,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.524,24.963,152.82,152.465,26.1,892.711,0.0,,,,30.627,30.656,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.0,0.0,0.002,497.82,498.503,12.755,0.413,3.761,9.522,1.63,21.968,1.913,0.754,11.896,0.177,1.715,3.797,0.65,10.016,0.763,0.344,0.0,-0.0,0.013,0.058,0.01,0.077,0.012,0.003
2336,Belarus,2022,BLR,9534956.0,,-100.0,-0.152,0.0,0.0,,,,0.0,,8.328,0.824,1124.454,10.722,,,,,,,,3.612,,39.641,13.768,-2.879,-8.798,31132.697,,-2.137,-6.16,,,29592.15,282.16,,95.052,-1.595,-2.993,184.624,,,19362.898,,,,,,62.195,,0.0,-0.003,0.894,35.973,0.343,93.786,0.865,0.301,-16.352,-2.638,14.689,604.588,5.765,1540.547,14.542,4.948,,,-18.864,-2.781,11.733,491.874,4.69,1230.569,11.831,3.953,-4.396,-3.992,86.814,,,9104.797,,,,,,29.245,0.839,0.263,,0.0,0.0,27.55,,87.945,0.663,,0.282,4157.466,296.849,-3.285,0.142,2.956,112.713,1.075,309.978,2.711,0.996,68.125,0.299,0.743,29.893,0.285,77.936,0.719,0.25,0.0,-0.002,0.48,19.297,0.184,50.311,0.464,0.162
2459,Belgium,2022,BEL,11655923.0,,7.994,0.664,769.63,8.971,381.78,4.45,4.677,1.318,167.105,3.374,1.044,2744.635,31.991,3.432,0.04,,,,,0.042,4.7,87.62,95.15,16.524,-7.819,-57.737,58395.824,,-7.948,-43.043,2299.26,26.8,42769.266,498.515,28.166,73.24,-14.193,-24.072,145.534,2005.847,23.38,12485.879,,,,,24.572,21.381,15.9,-24.508,-0.271,0.823,23.164,0.27,70.599,0.284,0.121,-6.39,-14.694,182.142,5863.971,68.35,15626.559,71.834,26.76,-7.53,-8.594,-13.103,-16.958,109.409,3784.342,44.11,9386.54,46.358,16.074,-5.869,-20.015,320.99,289.981,3.38,27538.754,,,,,3.552,47.159,14.243,4.45,0.0,-4.881,-0.731,381.78,0.0,1221.992,4.677,0.0,2.093,8163.231,680.657,4.495,2.264,72.733,2079.629,24.24,6240.019,25.476,10.686,20.519,2.952,17.653,631.439,7.36,1514.476,7.735,2.593,-0.754,-0.35,31.043,1043.246,12.16,2663.322,12.78,4.561
2750,Bolivia,2022,BOL,12224114.0,,,,,,31.086,0.38,3.372,,335.404,,,,,0.0,0.0,,,,,0.0,,11.27,11.27,,,,,,,,575.911,7.04,,,62.467,,,,,523.555,6.4,,-11.545,-17.49,10962.543,134.007,56.788,,3.78,,,,235.6,2.88,,25.555,,,,,346.037,4.23,,37.533,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,52.356,0.64,,0.0,,,,5.679,,,0.38,0.0,,,31.086,0.0,,3.372,0.0,,921.948,,,,,346.037,4.23,,37.533,,,,,40.085,0.49,,4.348,,,,,39.267,0.48,,4.259,
2781,Bosnia and Herzegovina,2022,BIH,3233530.0,,,,,,12.37,0.04,0.242,,553.474,,,,,3395.67,10.98,,,,,66.344,,13.55,16.55,,,,,,,,3404.948,11.01,,,66.526,,,,,0.0,0.0,,,,,,0.0,,9.16,,,,1537.02,4.97,,30.03,,,,,1713.298,5.54,,33.474,,-3.0,-22.14,,,,0.0,0.0,,0.0,,,,,9.278,0.03,,,,,,0.181,,,,,,,,,,,,,5118.245,,,,,1713.298,5.54,,33.474,,,,,43.296,0.14,,0.846,,,,,120.611,0.39,,2.356,
3026,Brazil,2022,BRA,215313504.0,,-0.631,-1.535,1123.715,241.951,267.888,57.68,8.471,6.496,102.043,-17.81,-35.247,755.465,162.662,72.452,15.6,-11.309,-3.821,139.189,29.969,2.291,4.367,703.99,680.89,25.016,4.319,154.2,17299.75,,-2.948,-56.891,344.289,74.13,8699.518,1873.124,10.887,50.287,-20.942,-84.703,319.762,224.417,48.32,1485.099,-5.551,-13.506,1067.377,229.821,7.097,8.585,69.48,17.721,164.164,1113.543,1988.078,428.06,5171.727,62.868,29.895,10.758,211.091,1851.746,2818.031,606.76,8600.232,89.113,49.713,23.1,3.281,-0.99,-0.499,36.424,67.529,14.54,169.166,2.135,0.978,4.75,63.058,1390.7,47.419,10.21,6458.953,3.954,72.123,8807.444,1896.362,1.5,37.336,168.461,57.68,0.0,-5.297,-9.423,267.888,0.0,782.397,8.471,0.0,4.523,3162.319,3724.87,10.988,211.59,1815.322,2750.501,592.22,8431.066,86.977,48.735,79.835,34.708,78.544,122.983,26.48,364.788,3.889,2.109,12.929,23.675,212.824,371.551,80.0,988.44,11.749,5.714
3191,Brunei,2022,BRN,449002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.163,-9.416,235925.438,105.931,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-13.78,-8.341,116233.352,52.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3314,Bulgaria,2022,BGR,6781955.0,,63.232,1.246,474.191,3.216,383.37,2.6,5.142,1.388,399.723,19.438,11.839,10726.563,72.747,3153.958,21.39,24.465,13.542,10158.644,68.895,42.306,31.387,38.37,50.56,26.547,4.479,9.937,34175.52,,7.555,11.333,3636.12,24.66,23789.814,161.341,48.774,69.611,-18.127,-5.986,27.035,429.08,2.91,3986.24,0.0,,,,5.756,11.664,20.21,-21.822,-2.788,9.823,545.565,3.7,1448.331,7.318,4.238,1.384,-1.396,70.435,3818.958,25.9,10385.708,51.226,30.389,-12.19,-31.77,-0.229,-0.245,41.152,2427.029,16.46,6067.928,32.555,17.755,9.77,5.479,61.56,53.082,0.36,9077.011,0.0,,,,0.712,26.56,7.115,2.6,0.0,-13.912,-1.15,383.37,0.0,1049.036,5.142,0.0,3.07,7455.078,231.777,3.549,-1.151,29.283,1391.929,9.44,4317.78,18.671,12.634,36.612,1.386,5.224,250.665,1.7,770.212,3.362,2.254,4.521,0.155,3.906,212.328,1.44,576.01,2.848,1.685
3479,Burundi,2022,BDI,12889583.0,,,,,,0.776,0.01,2.778,,250.0,,,,,0.0,0.0,,,,,0.0,,0.46,0.36,,,,,,,,8.534,0.11,,,30.556,,,,,0.0,0.0,,,,,,0.0,,0.09,,,,17.844,0.23,,63.889,,,,,19.396,0.25,,69.444,,0.1,21.739,,,,0.0,0.0,,0.0,,,,,8.534,0.11,,,,,,30.556,,,0.01,0.0,,,0.776,0.0,,2.778,0.0,,27.93,,,,,19.396,0.25,,69.444,,,,,0.776,0.01,,2.778,,,,,0.0,0.0,,0.0,
3537,CIS (EI),2022,,,,29.73,0.833,,3.637,,,,0.034,,-3.632,-50.998,,1353.05,,275.371,1.447,45.022,,3155.837,18.339,12.698,,1501.575,15.186,-5.762,-651.463,,,-6.129,-613.228,,1003.463,,9392.034,66.827,88.145,-10.646,-656.731,5512.274,,717.348,,-9.564,-852.28,,8059.247,47.773,51.733,,-6.481,-47.3,645.994,,247.779,,16.501,6.063,-2.421,-38.234,1263.181,,492.29,,32.785,11.855,,,0.463,0.557,578.504,,231.235,,15.4,5.429,3.885,94.501,2526.71,,10.745,,0.909,71.496,,7938.099,0.716,23.713,3.759,1.274,,4.901,0.171,,,,0.085,,0.035,,10655.215,-4.808,-38.791,684.677,,261.054,,17.385,6.426,11.123,1.234,12.752,,4.891,,0.326,0.12,51.675,6.27,18.535,,7.109,,0.473,0.174
3824,Canada,2022,CAN,38454328.0,,-4.875,-1.204,610.979,23.495,230.663,8.87,1.389,0.598,125.842,-22.382,-30.922,2788.582,107.233,956.719,36.79,-2.677,-9.009,8517.256,327.525,5.763,2.73,596.39,638.42,20.866,2.207,84.812,102160.289,,2.38,58.33,2888.362,111.07,65239.922,2508.757,17.398,63.86,3.98,46.551,1216.283,1852.847,71.25,31629.277,7.35,126.676,48113.273,1850.164,11.16,30.96,80.34,4.087,37.133,1038.782,10207.174,392.51,27013.396,61.481,26.442,2.07,26.482,1419.748,13713.67,527.35,36920.363,82.602,36.14,-42.03,-7.047,-5.808,-14.209,216.76,2139.681,82.28,5636.829,12.888,5.518,3.737,42.7,1185.242,78.795,3.03,30822.062,2.762,85.65,82862.633,3186.427,0.475,30.17,27.197,8.87,0.0,-13.609,-4.284,230.663,0.0,707.266,1.389,0.0,0.692,16602.031,3928.505,3.655,40.691,1202.987,11573.99,445.07,31283.535,69.714,30.622,16.394,2.159,15.678,144.587,5.56,407.714,0.871,0.399,7.967,6.888,97.835,991.566,38.13,2544.18,5.973,2.49
4050,Central America (EI),2022,,,,2.81,0.015,,0.552,,,,0.127,,-34.093,-6.714,,12.979,,,,,,,,2.973,,63.139,17.701,3.981,16.711,,,4.845,14.239,,,,308.115,,70.583,122.918,3.448,6.254,,,,,,,,,1.433,,5.945,4.341,82.436,,31.619,,50.079,18.884,2.433,2.473,128.415,,48.034,,76.077,29.417,,,,0.0,0.0,,0.0,,0.0,0.0,6.45,17.504,288.882,,,,,,,,,66.177,28.186,9.802,,-2.173,-0.727,,,,15.524,,6.457,,436.53,2.433,2.473,128.415,,48.034,,76.077,29.417,-2.552,-0.231,7.728,,2.964,,4.695,1.77,-8.523,-0.924,9.513,,3.649,,5.779,2.179
4210,Chad,2022,TCD,17723312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,6.23,4.432,4264.396,75.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4333,Chile,2022,CHL,19603736.0,,,,,,,,,,332.612,-24.587,-19.943,3120.24,61.168,977.365,19.16,,,,,23.023,12.312,83.22,83.22,20.742,4.185,19.955,25342.707,,-0.992,-3.579,1997.068,39.15,18217.781,357.137,47.044,71.886,9.33,6.366,74.595,810.56,15.89,3805.152,,,,,19.094,15.015,27.68,23.105,10.714,58.003,1033.987,20.27,2958.779,24.357,11.675,21.559,23.533,139.675,2248.041,44.07,7124.925,52.956,28.114,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73,9.998,221.373,209.144,4.1,11292.39,,,,,4.927,44.559,19.564,6.23,0.46,-5.232,-1.198,317.778,23.465,997.983,7.486,0.553,3.938,4245.109,496.812,21.559,23.533,139.675,2248.041,44.07,7124.925,52.956,28.114,34.478,9.561,37.69,740.675,14.52,1922.614,17.448,7.586,22.778,4.457,24.417,449.914,8.82,1245.55,10.598,4.915
