,country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
17510,South Africa,2022,ZAF,59893884.0,,0.906,0.009,16.265,0.974,6.512,0.39,0.183,0.073,708.207,-5.607,-54.662,15365.821,920.319,3018.338,180.78,-1.679,-25.371,24801.535,1485.46,84.631,68.748,211.52,213.61,16.533,-3.645,-50.647,22350.898,,-3.721,-48.762,3074.271,184.13,21062.77,1261.531,86.199,94.237,-1.215,-0.561,45.582,0.0,0.0,761.044,0.0,,,,0.0,3.405,151.28,53.617,2.802,8.082,50.423,3.02,134.941,1.414,0.604,-2.247,-1.884,77.151,492.204,29.48,1288.129,13.801,5.763,-2.09,-0.988,-18.252,-5.755,25.268,168.131,10.07,421.882,4.714,1.888,2.234,6.461,295.63,55.932,3.35,4935.904,0.0,,,,1.568,22.084,1.373,0.49,0.1,0.0,0.0,8.181,1.67,22.926,0.229,0.047,0.103,3566.474,1338.682,8.242,3.87,51.883,324.073,19.41,866.247,9.087,3.876,-8.622,-1.59,16.164,103.683,6.21,269.881,2.907,1.207,12.113,2.65,25.289,161.786,9.69,422.234,4.536,1.889
17633,South America,2022,,436816679.0,,0.629,1.707,625.538,273.246,,,,3.722,,-16.707,-55.417,632.478,276.277,95.093,41.538,-3.037,-15.429,1127.63,492.568,3.305,3.764,,1256.978,21.857,4.394,308.959,16804.742,,1.251,55.755,659.669,288.155,10329.182,4511.959,22.924,61.466,-3.754,-54.879,1407.066,467.184,204.074,3221.182,2.5,33.026,3099.373,1353.858,16.235,19.168,,11.898,191.49,1858.034,1631.515,712.673,4253.578,56.697,25.312,8.949,253.205,2828.632,2210.888,965.753,6475.559,76.831,38.534,,,-11.442,-7.348,55.11,50.429,22.028,126.163,1.752,0.751,6.237,166.051,2828.616,97.392,42.543,6475.522,7.427,257.787,8536.426,3728.853,3.385,38.534,218.916,68.679,,-4.779,-11.103,157.226,,501.161,5.464,,2.982,2877.586,7340.591,9.405,260.553,2773.522,2160.458,943.724,6349.396,75.079,37.783,56.594,46.71,130.086,114.227,49.896,297.805,3.97,1.772,12.552,31.75,293.241,257.491,112.476,671.313,8.948,3.995
17756,South Korea,2022,KOR,51815808.0,,24.502,1.701,166.855,8.646,295.47,15.31,2.524,0.245,437.602,-5.332,-44.978,15411.557,798.562,3986.235,206.55,-8.686,-0.429,87.055,4.511,34.055,22.622,606.51,606.51,19.151,1.154,40.275,68126.188,,-1.004,-29.788,7438.463,385.43,56686.57,2937.26,63.549,83.208,-0.768,-4.794,619.28,3334.503,172.78,11951.565,0.0,,,,28.488,17.543,265.41,15.935,1.24,9.233,68.512,3.55,178.18,0.585,0.262,13.521,70.063,592.753,4266.651,221.08,11439.617,36.451,16.792,0.0,0.0,11.416,43.682,440.451,3253.448,168.58,8500.325,27.795,12.477,1.333,19.984,1519.418,117.725,6.1,29323.447,,,,,1.006,43.043,55.351,16.49,1.18,45.715,17.365,318.243,22.773,1068.219,2.719,0.195,1.568,11705.115,3530.013,20.202,26.38,152.302,1013.204,52.5,2939.291,8.656,4.314,9.118,5.64,70.318,561.412,29.09,1357.073,4.796,1.992,5.6,0.434,8.755,65.038,3.37,168.964,0.556,0.248
17799,South Sudan,2022,SSD,10913172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-7.555,-6.604,7404.224,80.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17857,South and Central America (EI),2022,,,,0.657,1.81,,277.274,,,,3.315,,-15.88,-62.167,,329.306,,56.619,-3.037,-15.429,,492.568,4.014,3.938,,1410.411,21.109,4.055,325.937,,,1.327,70.488,,386.288,,5383.227,27.388,64.367,-3.682,-61.827,1617.286,,236.543,,2.896,45.605,,1620.477,16.771,19.338,,11.588,195.661,1945.554,,746.242,,52.91,23.263,8.613,255.448,2980.077,,1021.053,,72.394,35.633,,,-11.442,-7.348,55.11,,22.028,,1.562,0.659,5.999,194.483,3436.634,,93.126,,7.201,255.067,,3797.011,6.603,41.092,250.741,79.643,,-4.6,-12.402,,,,5.647,,2.998,,8363.304,9.039,262.796,2924.967,,999.024,,70.832,34.974,49.773,47.113,142.819,,54.78,,3.884,1.708,11.42,30.615,308.579,,118.359,,8.392,3.69
17980,Spain,2022,ESP,47558632.0,,-2.471,-0.392,325.491,15.48,143.402,6.82,2.392,0.968,217.422,31.289,11.18,986.387,46.911,160.223,7.62,0.0,0.0,10.383,0.494,2.672,2.934,265.36,285.16,21.765,3.615,55.771,33615.332,,6.046,63.62,2234.926,106.29,23462.137,1115.827,37.274,69.796,-3.576,-12.274,330.969,1832.265,87.14,6959.187,0.0,,,,30.558,20.702,62.0,-38.443,-29.976,47.546,395.091,18.79,999.729,6.589,2.974,-1.272,-7.849,482.872,3761.042,178.87,10153.192,62.726,30.204,-19.8,-7.462,3.595,4.569,146.599,1230.691,58.53,3082.48,20.525,9.17,9.612,64.713,737.947,242.438,11.53,15516.564,0.0,,,,4.043,46.159,21.759,6.82,0.0,-1.084,-0.238,143.402,0.0,457.52,2.392,0.0,1.361,5995.968,1598.699,-3.217,-12.418,336.273,2530.35,120.34,7070.712,42.201,21.034,24.579,17.106,88.013,690.306,32.83,1850.617,11.513,5.505,1.035,1.082,163.476,1301.551,61.9,3437.356,21.707,10.226
18038,Sri Lanka,2022,LKA,21832150.0,,,,,,,,,,,-9.73,-1.828,776.648,16.956,,,,,,,,,,16.923,20.936,-10.752,-11.435,4347.636,,0.0,,,,,,,,,,,,,,,,,,,,,-0.709,-0.201,18.577,326.37,7.125,850.891,42.104,,0.888,0.119,22.812,399.775,8.728,1044.88,51.574,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,-14.991,-9.726,55.15,,,2526.109,,,,,,,0.311,0.097,,0.0,0.0,4.463,,14.248,0.576,,,775.145,94.918,0.888,0.119,22.812,399.775,8.728,1044.88,51.574,,14.417,0.324,2.642,46.422,1.013,121.027,5.989,,0.0,-0.005,1.282,22.521,0.492,58.714,2.905,
18081,Sudan,2022,SDN,46874200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-3.335,-1.224,757.094,35.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18326,Sweden,2022,SWE,10549349.0,,13.145,2.404,1961.763,20.695,1204.814,12.71,7.381,3.274,45.119,6.153,1.178,1925.709,20.315,0.948,0.01,,,,,0.006,3.213,138.99,172.21,48.366,0.351,2.211,59926.805,,-1.632,-2.758,289.117,3.05,15754.809,166.203,1.771,26.29,-30.881,-3.288,7.36,26.542,0.28,697.639,,,,,0.163,1.164,7.77,-5.468,-11.225,181.871,6576.709,69.38,17240.004,40.288,28.768,2.054,4.969,465.986,16035.112,169.16,44171.992,98.229,73.71,-33.22,-23.901,-2.684,-4.042,128.951,4872.338,51.4,12223.56,29.847,20.397,-0.465,-0.647,138.528,261.628,2.76,13131.461,,,,,1.603,21.913,42.56,12.71,0.0,1.916,0.8,1204.814,0.0,4034.416,7.381,0.0,6.732,16324.231,632.189,3.93,9.011,337.035,11162.774,117.76,31948.436,68.382,53.312,74.623,2.918,6.861,221.815,2.34,650.358,1.359,1.085,20.336,14.114,85.048,3159.437,33.33,8061.895,19.354,13.453
18449,Switzerland,2022,CHE,8740471.0,,-0.62,-0.011,207.908,1.817,109.834,0.96,1.542,0.623,41.279,0.0,0.0,117.588,1.028,,,,,,,,0.353,65.2,62.26,31.19,-2.413,-7.208,33350.754,,-2.277,-3.198,196.786,1.72,15704.048,137.261,2.763,47.088,-17.751,-6.398,29.644,57.205,0.5,3391.58,,,,,0.803,10.169,2.57,-19.154,-18.61,77.08,3487.226,30.48,8818.778,48.956,26.443,-1.972,-4.01,154.241,6926.4,60.54,17646.705,97.237,52.912,2.94,4.509,24.733,11.296,57.824,2740.127,23.95,6615.663,38.468,19.837,3.095,3.2,106.589,139.581,1.22,12194.879,,,,,1.96,36.566,7.399,2.07,1.11,15.897,1.015,236.829,126.995,846.557,3.325,1.783,2.538,7123.186,291.501,-13.378,-15.306,96.416,4186.273,36.59,11031.041,58.77,33.076,31.222,2.286,9.723,442.768,3.87,1112.399,6.216,3.335,4.249,0.015,0.397,19.45,0.17,45.4,0.273,0.136
18572,Syria,2022,SYR,22125242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.236,-0.073,1386.702,30.681,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-0.752,-0.402,2398.954,53.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18695,Taiwan,2022,TWN,23893396.0,,4.332,0.0,0.02,0.0,81.613,1.95,0.684,0.0,560.978,-5.681,-26.458,18384.822,439.276,5107.688,122.04,,,,,42.818,33.062,285.02,285.02,22.687,-3.974,-54.991,55606.547,,-4.808,-61.143,10014.482,239.28,50666.402,1210.592,83.952,91.116,2.843,7.759,280.664,4718.877,112.75,11746.49,,,,,39.559,21.124,159.89,68.244,6.139,15.217,244.0,5.83,636.854,2.045,1.145,5.418,6.153,118.037,1914.337,45.74,4940.146,16.048,8.884,0.0,0.0,-14.514,-10.345,59.43,994.417,23.76,2487.287,8.336,4.473,-7.962,-42.445,490.653,187.918,4.49,20535.088,,,,,1.575,36.929,6.321,1.96,0.01,-1.074,-0.08,82.031,0.419,264.554,0.688,0.004,0.476,11928.819,1328.629,40.8,16.497,58.607,919.919,21.98,2452.86,7.712,4.411,33.965,6.98,27.832,447.404,10.69,1164.842,3.751,2.095,60.413,3.458,9.237,146.484,3.5,386.589,1.228,0.695
18970,Thailand,2022,THA,71697024.0,,-10.166,-2.368,291.832,20.923,206.145,14.78,7.743,1.488,501.572,-9.074,-19.715,2755.472,197.559,527.079,37.79,-4.08,-1.672,548.1,39.297,19.798,14.047,221.59,190.88,14.099,1.119,15.567,19616.777,,0.989,12.769,2250.442,161.35,18179.367,1303.406,84.53,92.673,-5.734,-26.957,443.181,1698.536,121.78,6181.297,-18.66,-58.829,3576.588,256.431,63.799,31.51,95.74,45.349,5.324,17.204,93.867,6.73,239.954,3.526,1.223,-0.751,2.798,103.058,411.872,29.53,1437.411,15.47,7.327,30.71,13.859,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.854,59.441,662.667,24.827,1.78,9242.598,-17.582,-28.781,1881.764,134.917,0.933,47.116,43.292,14.78,0.0,1.168,0.5,206.145,0.0,603.825,7.743,0.0,3.078,2662.314,1406.465,-0.751,2.798,103.058,411.872,29.53,1437.411,15.47,7.327,-2.197,-0.333,12.721,70.017,5.02,177.43,2.63,0.904,-3.165,-0.325,8.917,41.843,3.0,124.37,1.572,0.634
19177,Trinidad and Tobago,2022,TTO,1531043.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,,10.165,6.19,-3.066,-5.195,107268.734,,-3.066,-5.195,,,107259.25,164.219,,99.991,-3.451,-5.384,150.647,,,98395.008,5.084,12.569,169687.484,259.799,,91.728,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.015,3.636,0.006,9.479,0.055,0.009,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.416,0.189,13.572,,,8864.241,-2.97,-1.205,25723.102,39.383,,8.264,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,6639.407,164.233,0.0,-0.0,0.015,3.636,0.006,9.479,0.055,0.009,0.0,-0.0,0.014,3.618,0.006,9.433,0.054,0.009,0.0,-0.0,0.0,0.018,0.0,0.046,0.0,0.0
19300,Tunisia,2022,TUN,12356116.0,,,,,,0.0,0.0,0.0,,469.428,,,,,0.0,0.0,,,,,0.0,,19.7,20.28,,,,,,,,1569.263,19.39,,,95.611,,,,,1569.263,19.39,,0.0,,,,95.611,,9.52,,,,4.856,0.06,,0.296,,,,,72.029,0.89,,4.389,,-0.58,-2.944,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,-13.154,-3.244,1733.389,21.418,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,1641.292,,,,,72.029,0.89,,4.389,,,,,33.182,0.41,,2.022,,,,,33.991,0.42,,2.071,
19423,Turkey,2022,TUR,85341248.0,,22.393,0.279,17.847,1.523,92.804,7.92,2.429,0.078,413.603,0.523,2.522,5681.234,484.844,1301.598,111.08,10.935,22.808,2711.292,231.385,34.062,24.891,328.81,326.11,18.969,0.698,13.505,22824.15,,-2.184,-35.303,2217.216,189.22,18522.918,1580.769,58.023,81.155,-10.624,-60.886,512.218,887.027,75.7,6001.997,0.0,,,,23.213,26.297,134.88,20.15,28.846,175.189,786.138,67.09,2052.802,20.573,8.994,15.643,48.808,367.072,1604.031,136.89,4301.231,41.977,18.845,2.7,0.821,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.113,23.061,583.707,28.591,2.44,6839.688,0.0,,,,0.748,29.967,57.256,18.82,10.9,9.29,5.322,220.526,127.723,670.902,5.771,3.342,2.939,3821.247,1947.841,15.643,48.808,367.072,1604.031,136.89,4301.231,41.977,18.845,14.134,5.005,41.489,185.608,15.84,486.152,4.857,2.13,11.782,9.356,91.616,411.759,35.14,1073.527,10.776,4.703
19466,Turkmenistan,2022,TKM,6430777.0,,,,,,,,,,,0.0,,,,,,,,,,,,,31.524,6.869,2.12,9.526,71367.344,,0.0,,,,,,,,2.117,7.782,375.364,,,58369.984,-1.281,-10.154,121708.758,782.682,,,,0.0,-0.0,0.015,0.899,0.006,2.344,0.018,,0.0,-0.0,0.033,1.981,0.013,5.166,0.04,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,2.132,1.744,83.55,,,12992.195,0.349,0.469,21008.982,135.104,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,4902.051,458.947,0.0,-0.0,0.033,1.981,0.013,5.166,0.04,,0.0,-0.0,0.018,1.082,0.007,2.822,0.022,,,0.0,0.0,0.0,0.0,0.0,0.0,
19913,Ukraine,2022,UKR,39701744.0,,-11.166,-0.07,13.93,0.553,19.143,0.76,0.665,0.085,232.741,-45.609,-120.811,3628.821,144.071,658.661,26.15,-33.655,-50.902,2527.421,100.343,22.88,22.25,113.31,114.29,21.729,-30.688,-286.681,16309.124,,-32.775,-216.508,829.686,32.94,11185.414,444.08,28.821,68.584,-29.289,-79.833,192.733,128.71,5.11,4854.53,-6.566,-12.303,4410.034,175.086,4.471,29.766,26.6,6.5,1.666,28.927,265.228,10.53,728.606,9.213,4.467,-25.396,-70.173,203.42,2049.028,81.35,5123.711,71.179,31.416,-0.98,-0.865,-28.0,-61.177,155.281,1593.381,63.26,3911.198,55.35,23.982,-12.883,-15.864,107.277,42.316,1.68,2702.062,0.0,,,,1.47,16.568,1.59,0.76,0.0,-36.0,-0.894,19.143,0.0,40.048,0.665,0.0,0.246,2878.715,647.501,-15.217,-8.997,48.139,455.647,18.09,1212.513,15.828,7.435,-19.649,-3.301,13.253,150.371,5.97,333.805,5.224,2.047,-62.5,-6.398,3.816,20.906,0.83,96.124,0.726,0.589
20036,United Arab Emirates,2022,ARE,9441138.0,,,,,,1.059,0.01,0.006,,407.975,3.757,1.033,3022.828,28.539,0.0,0.0,,,,,0.0,,154.71,154.74,11.367,7.118,93.214,148576.547,,5.337,67.606,13522.734,127.67,141325.734,1334.276,82.506,,-1.293,-9.147,698.482,13522.734,127.67,73982.82,-0.599,-3.493,61429.32,579.963,82.506,,63.13,,,,,,,,,,,,2867.239,27.07,,17.494,,-0.03,-0.019,90.598,23.812,50.298,2128.981,20.1,5327.503,12.99,,14.246,75.72,607.255,0.0,0.0,64320.086,10.817,205.616,223107.188,2106.386,0.0,,0.023,0.007,,1740.0,0.022,0.774,,2.472,0.005,,,16389.973,1402.732,,,,738.258,6.97,,4.504,,11.251,1.774,18.135,737.199,6.96,1920.819,4.498,,0.0,-0.0,0.0,0.0,0.0,0.012,0.0,
20159,United Kingdom,2022,GBR,67508936.0,,28.762,4.603,305.221,20.605,525.116,35.45,10.871,1.014,261.155,-10.766,-7.084,869.846,58.722,82.508,5.57,-38.23,-3.109,74.421,5.024,1.708,2.89,320.76,326.09,18.927,1.625,32.499,30097.885,,-0.386,-5.892,2124.459,143.42,22509.117,1519.567,43.982,74.786,-7.512,-58.465,719.801,1856.051,125.3,10662.307,16.379,53.7,5651.892,381.553,38.425,35.425,85.16,-3.279,-0.522,13.859,78.804,5.32,205.288,1.631,0.682,10.372,38.391,512.31,2705.864,182.67,7588.769,56.018,25.214,-5.33,-1.662,3.963,4.131,119.393,706.869,47.72,1768.558,14.634,5.876,8.755,59.657,741.043,185.901,12.55,10976.965,-11.312,-53.76,6243.394,421.485,3.849,36.471,113.166,35.451,,-11.111,-14.145,525.129,,1676.318,10.872,,5.57,4830.323,2031.876,12.501,34.26,392.916,1998.995,134.95,5820.21,41.384,19.338,14.686,4.532,36.293,206.195,13.92,537.598,4.269,1.786,23.971,39.793,208.993,1188.88,80.26,3095.785,24.613,10.286
20282,United States,2022,USA,338289856.0,,4.335,18.026,1282.526,433.866,153.271,51.85,1.209,1.629,368.102,-6.663,-195.673,8103.174,2741.221,2457.981,831.51,3.854,124.433,9911.74,3353.041,19.396,10.289,4328.12,4286.91,18.044,2.685,696.746,78754.273,,2.064,436.695,7559.257,2557.22,63835.859,21595.023,59.652,81.057,5.433,454.089,8812.123,4987.054,1687.07,26049.031,3.644,344.088,28926.398,9785.507,39.354,33.076,1578.02,3.851,22.622,674.078,735.346,248.76,1992.603,5.803,2.53,5.533,260.05,5046.749,5113.041,1729.69,14918.417,40.348,18.943,41.21,0.952,-1.04,-28.865,2031.819,2280.707,771.54,6006.149,17.998,7.626,1.807,178.28,10041.679,114.222,38.64,29683.652,6.187,514.6,26109.33,8832.521,0.901,37.691,224.406,70.01,18.16,0.333,-0.114,206.953,53.682,663.354,1.633,0.424,0.842,12672.299,26641.771,9.724,288.916,3014.93,2832.334,958.15,8912.268,22.351,11.317,24.138,102.932,537.517,606.226,205.08,1588.926,4.784,2.018,14.97,145.448,1145.063,1283.81,434.3,3384.858,10.131,4.298
20521,Upper-middle-income countries,2022,,2555055874.0,,0.992,3.392,135.21,345.468,,,,0.494,,0.385,107.643,10992.034,28085.262,2398.883,6129.28,8.603,2466.822,12188.15,31141.404,48.031,40.132,,12761.214,20.491,0.49,341.195,27389.883,,-0.823,-474.762,2988.736,7636.388,22382.309,57188.051,59.841,81.717,-6.318,-857.283,12710.582,554.678,1417.232,4974.679,-4.82,-643.815,4975.584,12712.895,11.106,18.162,,3.149,161.919,6001.142,900.886,2301.815,2348.732,18.038,8.575,6.893,815.964,12794.635,1856.968,4744.658,5007.575,37.18,18.283,,,0.614,4.348,1765.308,276.165,705.616,690.908,5.529,2.522,1.705,274.879,16392.207,35.175,89.875,6415.596,2.301,420.766,7321.551,18706.973,0.704,23.423,887.048,281.35,,3.638,31.184,110.115,,347.174,2.205,,1.268,4994.495,69982.68,7.977,811.615,11029.326,1580.804,4039.042,4316.667,31.651,15.76,28.993,299.776,1350.804,202.782,518.118,528.679,4.06,1.93,15.228,315.344,2444.863,367.021,937.759,956.873,7.349,3.494
20564,Uruguay,2022,URY,3422796.0,,,,,,759.613,2.6,16.539,,150.127,,,,,0.0,0.0,,,,,0.0,,16.09,15.72,,,,,,,,651.514,2.23,,,14.186,,,,,0.0,0.0,,,,,,0.0,,2.36,,,,1639.011,5.61,,35.687,,,,,3941.222,13.49,,85.814,,0.37,2.3,,,,0.0,0.0,,0.0,,,,,651.514,2.23,,,,,,14.186,,,2.6,0.0,,,759.613,0.0,,16.539,0.0,,4592.737,,,,,3941.222,13.49,,85.814,,,,,140.236,0.48,,3.053,,,,,1402.362,4.8,,30.534,
20607,Uzbekistan,2022,UZB,34627648.0,,,,,,,,,,,11.111,2.868,828.209,28.679,,,5.932,0.99,510.432,17.675,,4.892,,70.995,12.296,3.916,22.093,16929.814,,3.812,21.0,,,16515.852,571.905,,97.555,3.851,17.919,483.177,,,13953.514,-3.973,-20.23,14120.479,488.959,,82.42,,6.045,0.742,13.852,153.432,5.313,400.019,7.484,2.363,8.652,1.093,14.335,158.781,5.498,413.964,7.744,2.445,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357,0.214,60.049,,,1734.129,-0.802,-0.267,955.619,33.091,,10.243,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,2050.252,586.24,8.652,1.093,14.335,158.781,5.498,413.964,7.744,2.445,275.392,0.351,0.48,5.314,0.184,13.855,0.259,0.082,0.0,-0.0,0.003,0.035,0.001,0.09,0.002,0.001
20772,Venezuela,2022,VEN,28301700.0,,,,,,,,,,,-12.04,-0.057,14.699,0.416,,,-12.04,-0.172,44.463,1.258,,0.068,,82.824,16.35,5.197,30.316,21683.146,,8.413,34.136,,,15543.645,439.912,,71.685,3.986,11.185,291.776,,,10309.493,3.986,11.185,10309.493,291.776,,47.546,,-1.794,-3.82,173.709,2354.22,66.628,6137.769,80.446,28.307,-1.793,-3.82,173.758,2354.88,66.647,6139.501,80.468,28.315,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.449,23.008,147.719,,,5219.452,8.572,34.254,15330.145,433.869,,24.071,0.002,0.001,,0.0,0.0,0.022,,0.07,0.001,,0.0,2926.47,613.67,-1.793,-3.82,173.758,2354.88,66.647,6139.501,80.468,28.315,0.0,-0.0,0.001,0.013,0.0,0.034,0.0,0.0,0.0,-0.0,0.046,0.625,0.018,1.629,0.021,0.008
20895,Vietnam,2022,VNM,98186856.0,,,,,,3.666,0.36,0.138,,386.491,-4.978,-29.824,5797.624,569.25,1026.41,100.78,3.156,9.929,3305.427,324.549,38.765,44.655,261.5,259.98,24.424,5.679,68.506,12983.017,,0.038,0.354,1316.368,129.25,9509.55,933.713,49.715,73.246,8.311,5.983,77.972,282.828,27.77,794.118,8.311,5.983,794.118,77.972,10.682,6.117,100.48,26.381,51.497,250.172,977.32,95.96,2547.919,36.911,19.625,25.395,68.152,341.049,1331.441,130.73,3473.466,50.285,26.754,1.52,0.581,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.224,24.195,286.49,7.129,0.7,2917.808,-1.242,-1.367,1106.618,108.655,0.269,22.474,1.152,0.361,,128.375,0.648,3.676,,11.734,0.139,,0.09,2647.809,1274.762,25.395,68.152,341.049,1331.441,130.73,3473.466,50.285,26.754,2.29,1.293,68.75,268.57,26.37,700.199,10.143,5.393,236.26,14.714,20.974,81.885,8.04,213.615,3.093,1.645
21043,Western Africa (EI),2022,,,,,,,,,,,,,-5.18,-0.446,,8.156,,,,,,,,0.963,,91.703,11.846,2.318,19.185,,,1.943,14.756,,,,774.138,,91.411,-2.69,-7.33,265.136,,,,,,,,,31.308,,6.835,4.062,67.083,,25.731,,28.059,7.921,6.884,4.429,72.738,,,,,8.589,,,,,,,,,,,4.711,22.532,500.847,,,,,,,,,59.14,0.797,0.25,,0.0,0.0,,,,0.272,,0.094,,846.876,6.884,4.429,72.738,,27.843,,30.363,8.589,13.399,0.377,3.281,,1.259,,1.372,0.387,-0.249,-0.01,1.576,,0.604,,0.659,0.186
21208,World,2022,,7975105024.0,,4.929,56.335,150.369,1199.207,84.652,675.11,2.356,0.715,437.658,0.649,289.223,5624.256,44854.035,1280.512,10212.22,7.427,3352.484,6080.171,48490.0,35.631,26.733,28660.98,28660.98,19.166,1.11,1841.516,21038.93,,0.477,651.547,2201.848,17559.971,17208.133,137236.672,61.268,81.792,-3.092,-1257.617,39413.043,807.964,6443.6,4942.009,-0.237,-96.043,5070.549,40438.16,22.482,23.49,12543.72,1.059,77.456,11299.816,537.747,4288.59,1416.886,14.963,6.735,4.353,1189.975,30551.008,1391.958,11101.01,3830.797,38.732,18.208,,,-4.408,-334.729,6702.339,330.031,2632.03,840.408,9.183,3.995,3.155,1619.934,52969.59,113.372,904.15,6641.867,4.195,2063.52,6426.946,51255.57,3.155,31.569,2413.808,771.91,96.8,3.419,78.496,96.79,12.138,302.668,2.693,0.338,1.439,3593.806,167787.672,7.052,1524.703,23848.668,1061.927,8468.98,2990.389,29.549,14.214,24.858,676.408,3448.237,164.264,1310.02,432.375,4.571,2.055,13.523,636.006,5487.6,263.126,2098.46,688.091,7.322,3.271
21251,Yemen,2022,YEM,33696612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,38.665,1.303,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-2.733,-1.113,1175.33,39.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21466,Zambia,2022,ZMB,20017670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21589,Zimbabwe,2022,ZWE,16320539.0,,,,,,,,,,,,,,,,,21.665,5.263,1810.825,29.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
